specObjID,ra,dec,z,class,x,y,z_cart
2291244301222438912,177.86693,35.434367,0.01032686,GALAXY,-37.16604186184352,1.3842976983610953,26.464434927405655
1810495206483585024,175.98558,11.940595,0.01032797,GALAXY,-44.55397406784373,3.1267855815888206,9.445142971864678
2571634064519882752,134.92312,21.199149,0.01032856,GALAXY,-30.057230079310635,30.138000637879685,16.5089519244005
8596300331658532864,22.688303,21.433003,0.01032866,GALAXY,39.20860397122115,16.391910003620538,16.68270298982327
1953486417069893632,113.82918,42.094019,0.01032952,GALAXY,-13.688082709869958,30.99227979433379,30.606913774183994
397554845873104896,256.80299,60.920677,0.01033101,GALAXY,-5.066886189909039,-21.60785152981711,39.90859054831287
3134543074907154432,210.57453,22.726515,0.01033237,GALAXY,-36.26814077698176,-21.427163044210065,17.64410821522928
1982724910874650624,176.77647,13.706812,0.01033433,GALAXY,-44.30825346866963,2.4954695890774095,10.82389505578225
886133843143190528,209.56904,59.813316,0.01033588,GALAXY,-19.98007711066208,-11.335987471819776,39.4907806086756
1953488616093149184,113.89833,41.963578,0.01033797,GALAXY,-13.764893950290325,31.064693177716922,30.554615427532365
1473901155808471040,170.68605,57.441426,0.01034019,GALAXY,-24.272513101775846,3.9808448836070474,38.522262212050464
2571602728438491136,136.0019,21.967621,0.01034039,GALAXY,-30.492081728879693,29.44390699480029,17.097853988725152
1245370690148788224,329.737,1.018632,0.01034211,GALAXY,39.47763506178397,-23.034681447577608,0.812677060725176
1118176158001686528,146.37618,6.3768238,0.01034501,GALAXY,-37.8404444890044,25.163813529779503,5.078699085980874
9421690524073744384,170.51595,42.822744,0.01034572,GALAXY,-33.08238375717002,5.526625480850081,31.083895349866477
1470489100275443712,147.40434,9.4950891,0.01034582,GALAXY,-37.99941503957821,24.297584378033626,7.5437678040833545
13145049505782323200,135.52671,23.389059,0.01034666,GALAXY,-29.95298676403111,29.407282897854106,18.155044801555928
2817163815014131712,174.6886,20.140022,0.0103481,GALAXY,-42.75888309681465,3.975202657584524,15.749027017853988
2504177378683545600,180.45219,29.955406,0.01035091,GALAXY,-39.639371838107955,-0.3128485181183147,22.84539621158961
1178979426281482240,222.17634,49.887006,0.01035106,GALAXY,-21.84607105142127,-19.79237541143897,34.99087566526293
9206577945090742272,167.87953,56.527983,0.0103517,GALAXY,-24.67322423434405,5.298701765399657,38.167582185487994
2087510296334723072,245.34837,20.865878,0.01035311,GALAXY,-17.835591050434978,-38.86374592349556,16.29964721997187
1245359420154603520,329.53174,1.00946,0.01035372,GALAXY,39.439089682603196,-23.201980172733244,0.8062621821323304
2292341613994731520,175.1685,37.608392,0.01035392,GALAXY,-36.12681744523774,3.05365635351407,27.92906551603597
2505251874978949120,180.26589,30.844559,0.01035522,GALAXY,-39.29721111518775,-0.18236614563519524,23.467533053219626
1415429130496796672,72.744838,26.220558,0.01035974,GALAXY,12.185307377564142,39.23062243709375,20.231920300112993
2818296581432829952,174.97565,17.882042,0.01035979,GALAXY,-43.41202579682272,3.8166516040805014,14.060705162670827
2102057930504300544,116.02296,46.709502,0.01036011,GALAXY,-13.776244342962963,28.216782891140497,33.33214250541691
773615324036622336,4.1177406,1.1338487,0.010366,GALAXY,45.69179590329043,3.2894493006191983,0.9066714462324637
495396540391647232,124.50593,47.852614,0.01036783,GALAXY,-17.420641329388555,25.34157121613055,33.977172793594235
2504168307712616448,179.95672,30.844423,0.010369,GALAXY,-39.349845976287185,0.029724033292647445,23.49859253230627
9990380752758659072,176.92911,37.140158,0.01037053,GALAXY,-36.48858531646433,1.9575586908546627,27.676066580020727
2291337759710799872,177.50901,36.460122,0.01037103,GALAXY,-36.83389449311491,1.602399279312379,27.241736617622657
